"","ANASCI","SESSO","STACIV","STUDIO","IREG","ID","ANNO","PAR","NASCREG","ETA"
"1",1953,1,1,2,2,"501068_1",2020,1,19,67
"2",1960,2,1,3,2,"501068_2",2020,2,19,60
"3",1955,1,1,3,2,"501082_1",2020,1,2,65
"4",1958,2,1,4,2,"501082_2",2020,2,2,62
"5",1961,2,3,3,2,"686717_1",2020,1,18,59
"6",1998,1,2,3,2,"686717_4",2020,3,2,22
"7",1941,1,1,5,2,"890963_1",2020,1,2,79
"8",1944,2,1,4,2,"890963_2",2020,2,2,76
"9",1940,1,1,5,2,"890970_1",2020,1,2,80
"10",1940,2,1,5,2,"890970_2",2020,2,2,80
"11",1940,1,1,1,2,"898380_1",2020,1,2,80
"12",1945,2,1,1,2,"898380_2",2020,2,2,75
"13",1957,1,2,2,2,"898387_1",2020,1,2,63
"14",1963,1,2,3,2,"898401_1",2020,1,2,57
"15",1976,2,2,3,2,"898416_1",2020,1,2,44
"16",2005,1,2,2,2,"898416_2",2020,3,2,15
"17",2009,1,2,2,2,"898416_3",2020,3,2,11
"18",1950,2,4,2,2,"911033_1",2020,1,2,70
"19",1970,2,1,3,2,"911047_1",2020,2,NA,50
"20",1967,1,1,3,2,"911047_2",2020,1,NA,53
"21",1994,2,2,6,2,"911047_3",2020,3,NA,26
"22",1959,2,1,3,2,"911061_1",2020,2,2,61
"23",1955,1,1,3,2,"911061_2",2020,1,2,65
"24",1935,2,4,1,2,"911071_1",2020,1,2,85
"25",1960,2,2,3,2,"911078_1",2020,2,2,60
"26",1956,1,2,2,2,"911078_2",2020,1,2,64
"27",1958,2,1,3,2,"911082_2",2020,2,8,62
"28",1963,1,1,3,2,"911082_3",2020,1,16,57
"29",1969,2,1,3,2,"911083_1",2020,2,1,51
"30",1963,1,1,3,2,"911083_2",2020,1,2,57
"31",1970,1,1,3,2,"911087_1",2020,1,2,50
"32",1983,2,1,4,2,"911087_2",2020,2,2,37
"33",2009,1,2,1,2,"911087_3",2020,3,2,11
"34",1973,2,2,5,2,"911093_1",2020,1,2,47
"35",1969,1,2,3,2,"911093_2",2020,2,2,51
"36",1972,1,1,6,2,"930940_1",2020,1,2,48
"37",1977,2,1,5,2,"930940_2",2020,2,2,43
"38",2006,2,2,3,2,"930940_3",2020,3,2,14
"39",2008,2,2,2,2,"930940_4",2020,3,2,12
"40",2010,1,2,1,2,"930940_5",2020,3,2,10
"41",1940,2,4,2,2,"930943_1",2020,1,1,80
"42",1965,1,2,4,2,"930945_1",2020,1,2,55
"43",1943,1,1,5,2,"930946_1",2020,1,3,77
"44",1947,2,1,3,2,"930946_2",2020,2,2,73
"45",1974,1,1,3,2,"930947_1",2020,1,NA,46
"46",1972,2,1,3,2,"930947_2",2020,2,NA,48
"47",2000,1,2,3,2,"930947_3",2020,3,NA,20
"48",2004,2,2,3,2,"930947_4",2020,3,NA,16
"49",1973,1,3,3,2,"951486_1",2020,1,2,47
"50",1958,1,1,3,2,"951488_1",2020,1,18,62
"51",1980,2,1,3,2,"951488_2",2020,2,18,40
"52",1966,1,1,3,2,"951489_1",2020,1,2,54
"53",1971,2,1,3,2,"951489_2",2020,2,2,49
"54",1991,1,2,4,2,"951489_3",2020,3,2,29
"55",1997,1,2,3,2,"951489_4",2020,3,2,23
"56",1974,1,1,5,2,"951493_1",2020,1,19,46
"57",1976,2,1,4,2,"951493_2",2020,2,19,44
"58",2007,1,2,2,2,"951493_3",2020,3,2,13
"59",2012,2,2,1,2,"951493_4",2020,3,2,8
"60",1959,1,1,3,2,"951499_1",2020,1,2,61
