"","ID","SEX","DOB_MONTH","DOB_DAY","DOB_YEAR","REGOFF","STATE"
"1",29,"F",12,15,93,31,53
"2",57,"M",10,15,96,31,53
"3",58,"F",2,23,1,31,53
"4",62,"F",5,15,98,31,53
"5",65,"F",8,21,89,31,36
"6",73,"F",10,2,98,31,3
"7",81,"M",10,15,84,31,6
"8",89,"F",5,15,92,31,35
"9",93,"M",10,15,91,31,28
"10",107,"F",9,15,98,31,28
"11",130,"F",8,24,92,31,53
"12",136,"F",6,15,96,31,28
"13",175,"M",4,15,96,31,3
"14",176,"F",10,5,16,31,35
"15",211,"F",2,15,2,31,3
"16",227,"F",11,23,16,31,3
"17",263,"F",2,4,11,31,53
"18",319,"F",5,20,15,31,3
"19",414,"M",8,22,8,31,53
"20",417,"M",12,15,13,31,35
"21",418,"F",9,9,15,31,35
"22",423,"M",8,4,16,31,28
"23",424,"F",3,11,12,31,28
"24",426,"F",6,13,11,31,3
"25",429,"F",11,8,6,31,53
"26",430,"M",5,13,13,31,53
"27",431,"M",5,20,9,31,53
"28",432,"M",10,27,11,31,53
"29",433,"F",4,27,14,31,53
"30",434,"F",4,25,12,31,53
"31",435,"F",4,22,13,31,6
"32",436,"F",3,1,8,31,3
"33",437,"M",10,7,12,31,53
"34",438,"F",7,15,2,31,6
"35",439,"F",10,5,14,31,6
"36",441,"M",8,22,9,31,53
"37",442,"F",8,24,2,31,53
"38",443,"M",4,3,13,31,3
"39",451,"M",1,25,16,31,3
"40",477,"M",1,29,17,31,3
"41",482,"F",1,23,7,31,35
"42",486,"M",11,14,15,31,35
"43",542,"F",3,30,9,31,3
"44",552,"F",2,8,5,31,28
"45",582,"F",3,20,6,31,3
"46",586,"F",7,22,14,31,3
"47",589,"F",3,21,15,31,3
"48",591,"M",5,1,2,31,28
"49",593,"F",11,23,13,31,53
"50",594,"M",4,6,7,31,53
"51",595,"M",4,19,8,31,53
"52",600,"F",8,23,11,31,3
"53",654,"F",8,13,12,31,3
"54",676,"F",7,23,13,31,53
"55",839,"F",1,8,0,31,3
"56",922,"M",12,4,7,31,6
"57",1049,"F",10,17,3,31,46
"58",1157,"M",4,12,14,31,53
"59",1218,"M",5,23,10,31,3
"60",1273,"F",7,16,8,31,3
"61",1280,"M",2,7,16,31,3
"62",1320,"M",9,13,10,31,3
"63",1671,"F",10,2,0,31,3
"64",1678,"F",5,9,16,31,3
"65",1718,"F",3,6,90,31,3
"66",1787,"F",8,4,7,31,3
"67",1809,"F",11,14,99,31,3
"68",1891,"M",2,17,12,31,3
"69",2074,"F",5,12,8,31,3
"70",2505,"M",3,28,5,31,3
"71",2723,"F",9,16,9,31,3
"72",2825,"F",7,13,7,31,3
"73",3029,"M",10,19,8,31,3
"74",3049,"F",10,1,10,31,3
"75",3054,"F",6,21,2,31,3
"76",3069,"F",1,4,96,31,37
"77",3255,"M",5,10,14,31,3
"78",3884,"M",6,21,15,31,3
"79",4124,"M",9,22,92,31,6
"80",4317,"F",12,29,2,31,3
"81",4331,"F",4,11,10,31,3
"82",4348,"F",9,4,13,31,46
"83",4441,"M",10,22,8,31,3
"84",4487,"F",2,7,3,31,5
"85",4556,"F",7,7,9,31,3
"86",4601,"F",11,17,99,31,6
"87",4664,"M",3,3,12,31,6
"88",4827,"F",3,24,93,31,3
"89",5370,"M",6,14,0,31,3
"90",5466,"M",3,8,9,31,3
"91",5517,"M",7,9,7,31,3
"92",6372,"M",9,22,4,31,3
"93",6584,"F",10,28,9,31,6
"94",6691,"F",7,6,10,31,3
"95",6835,"F",8,4,95,31,28
"96",6848,"M",11,16,16,31,3
"97",6958,"M",9,27,8,31,3
"98",6961,"M",8,17,94,31,37
"99",6986,"F",10,20,11,31,3
"100",7035,"F",1,14,16,31,6
"101",7110,"M",7,16,16,31,3
"102",7318,"F",7,28,10,31,37
"103",7337,"F",2,21,13,31,3
"104",7746,"F",12,9,3,31,53
"105",7980,"F",8,6,11,31,3
"106",8044,"F",8,18,16,31,3
"107",8066,"M",3,4,14,31,3
"108",8182,"F",12,2,3,31,3
"109",8190,"F",2,17,6,31,3
"110",8203,"M",5,13,11,31,3
"111",8357,"F",6,24,12,31,3
"112",8730,"M",1,9,6,31,6
"113",9086,"M",10,26,13,31,3
"114",9546,"M",2,13,11,31,3
"115",10253,"F",9,13,1,31,3
"116",10302,"M",1,6,0,31,3
"117",10315,"M",5,27,11,31,3
"118",10330,"F",2,22,96,31,46
"119",10354,"M",2,15,11,31,3
"120",10361,"M",12,6,16,31,3
"121",10650,"M",8,16,2,31,3
"122",10756,"F",1,5,87,31,3
"123",10774,"M",4,6,14,31,3
"124",10781,"M",4,9,15,31,3
"125",10806,"M",3,21,10,31,3
"126",10846,"F",5,4,9,31,3
"127",10878,"F",3,6,10,31,6
"128",10937,"F",2,4,15,31,37
"129",10997,"F",9,30,14,31,3
"130",11273,"F",6,27,15,31,3
"131",11331,"M",4,11,7,31,3
"132",11399,"F",12,9,15,31,3
"133",11430,"M",10,27,99,31,37
"134",11438,"M",3,28,16,31,37
"135",11537,"F",12,14,16,31,3
"136",11538,"F",11,20,99,31,3
"137",11539,"M",6,17,96,31,3
"138",11633,"F",6,30,11,31,3
"139",11729,"F",1,21,90,31,28
"140",11845,"M",6,9,10,31,6
"141",11849,"M",12,2,16,31,53
"142",11856,"F",6,13,13,31,3
"143",11880,"F",3,14,14,31,3
"144",11910,"F",3,31,2,31,3
"145",11984,"M",8,20,7,31,3
"146",11998,"F",12,19,2,31,3
"147",12030,"M",1,18,13,31,3
"148",12049,"M",2,2,15,31,3
"149",12087,"M",6,15,13,31,6
"150",12092,"F",12,30,98,31,6
"151",12143,"F",12,29,16,31,6
"152",12169,"F",5,13,8,31,3
"153",12180,"F",10,5,14,31,3
"154",12193,"F",1,10,10,31,37
"155",12253,"F",5,27,7,31,3
"156",12264,"F",1,25,14,31,37
"157",12265,"F",7,9,12,31,3
"158",12307,"F",8,25,12,31,37
"159",12331,"F",12,1,93,31,37
"160",12359,"M",9,15,98,31,3
"161",12416,"F",6,12,0,31,3
"162",12431,"F",12,7,9,31,3
"163",12575,"F",2,28,11,31,3
"164",12602,"F",2,25,95,31,3
"165",12603,"F",8,19,7,31,3
"166",12632,"M",10,23,5,31,3
"167",12635,"M",7,1,15,31,6
"168",12637,"M",11,4,11,31,3
"169",12642,"F",4,30,12,31,3
"170",12653,"F",7,27,13,31,3
"171",12657,"F",4,24,12,31,6
"172",12669,"F",5,21,95,31,6
"173",12725,"F",10,1,16,31,3
"174",12737,"F",9,17,9,31,3
"175",12762,"F",1,29,3,31,3
"176",12818,"M",9,21,9,31,6
"177",12830,"M",11,9,7,31,28
"178",12847,"M",7,31,10,31,6
"179",12857,"M",7,29,8,31,3
"180",12862,"M",6,29,9,31,3
"181",12914,"M",9,25,12,31,3
"182",12931,"F",1,17,8,31,3
"183",13026,"F",11,8,96,31,3
"184",13032,"M",2,15,11,31,37
"185",13036,"M",12,6,13,31,3
"186",13066,"F",3,9,7,31,3
"187",13110,"M",5,8,12,31,3
"188",13162,"F",3,19,2,31,3
"189",13171,"F",1,29,15,31,6
"190",13194,"M",2,12,10,31,3
"191",13268,"F",9,14,11,31,3
"192",13298,"F",12,16,13,31,3
"193",13398,"F",3,3,2,31,28
"194",13446,"F",11,20,15,31,3
"195",13524,"M",8,31,6,31,3
"196",13535,"F",5,6,14,31,3
"197",13555,"F",12,13,15,31,3
"198",13640,"F",6,24,14,31,3
"199",13740,"M",10,9,11,31,3
"200",13741,"F",3,28,15,31,3
"201",13780,"M",3,15,11,31,3
"202",13948,"M",1,8,9,31,3
"203",13949,"F",8,27,9,31,3
"204",14034,"M",8,27,6,31,3
"205",14036,"F",3,14,94,31,3
